user;timestamp;cpu;cpu_count;ram;disco;qtd_processos;bytes_recv;package_recv;bytes_sent;package_sent;proc1_name;proc1_cpu_pct;proc2_name;proc2_cpu_pct;proc3_name;proc3_cpu_pct;proc4_name;proc4_cpu_pct;proc5_name;proc5_cpu_pct
servidor12.GABSERVIREDES;2025-10-06 20:06:10;21.3;12;89.5;85.9;315;129436582;129436582;4136460;19067;System;6.62;python.exe;3.93;WmiPrvSE.exe;1.56;svchost.exe;1.09;MsMpEng.exe;0.55
servidor12.GABSERVIREDES;2025-10-06 20:06:24;38.2;12;94.3;85.9;318;129460826;129460826;4149110;19124;idea64.exe;23.3;MsMpEng.exe;11.49;python.exe;4.7;System;3.83;WmiPrvSE.exe;2.48
servidor12.GABSERVIREDES;2025-10-06 20:06:44;52;12;90.7;85.9;320;129793898;130030506;4166542;19286;idea64.exe;46.59;MsMpEng.exe;10.15;System;8.82;python.exe;4.48;WmiPrvSE.exe;2.58
servidor12.GABSERVIREDES;2025-10-06 20:06:58;22.6;12;85.9;85.9;321;130311576;130311576;4175322;19358;python.exe;3.89;WmiPrvSE.exe;1.62;idea64.exe;1.08;svchost.exe;0.95;System;0.33
servidor12.GABSERVIREDES;2025-10-06 20:07:11;7;12;86.3;85.9;321;130326325;130326325;4182073;19400;python.exe;3.7;WmiPrvSE.exe;1.41;svchost.exe;1.13;System;0.58;idea64.exe;0.4
servidor12.GABSERVIREDES;2025-10-06 20:07:24;7.9;12;86.5;85.9;321;130327785;130327785;4184004;19427;python.exe;3.81;WmiPrvSE.exe;1.48;svchost.exe;1.41;idea64.exe;0.41;System;0.39
servidor12.GABSERVIREDES;2025-10-06 20:07:36;6.6;12;87.3;85.9;321;130328356;130328356;4184600;19435;python.exe;3.98;WmiPrvSE.exe;1.41;svchost.exe;1.34;System;0.34;idea64.exe;0.13
servidor12.GABSERVIREDES;2025-10-06 20:07:49;10;12;86.8;85.9;323;130345868;130345868;4191746;19492;System;5.52;python.exe;3.52;WmiPrvSE.exe;1.3;svchost.exe;1.24;idea64.exe;1.06
servidor12.GABSERVIREDES;2025-10-06 20:08:02;6.9;12;86.2;85.9;323;130354236;130354236;4198327;19515;python.exe;3.77;WmiPrvSE.exe;1.89;svchost.exe;1.69;System;0.89;Figma.exe;0.21
servidor12.GABSERVIREDES;2025-10-06 20:08:15;6.6;12;86.4;85.9;322;130356910;130356910;4198784;19521;python.exe;3.98;WmiPrvSE.exe;1.51;svchost.exe;1.03;idea64.exe;0.34;svchost.exe;0.21
servidor12.GABSERVIREDES;2025-10-06 20:08:28;7.5;12;86.5;85.9;322;130359106;130359106;4199482;19530;python.exe;3.82;svchost.exe;1.52;WmiPrvSE.exe;1.24;idea64.exe;0.41;System;0.34
servidor12.GABSERVIREDES;2025-10-06 20:08:41;6.4;12;86.5;85.9;321;130366705;130366705;4200078;19538;python.exe;3.76;WmiPrvSE.exe;2.05;svchost.exe;1.1;System;0.41;idea64.exe;0.27
servidor12.GABSERVIREDES;2025-10-06 20:08:53;8.7;12;87.1;85.9;320;130431423;130431423;4240436;19614;python.exe;4.06;msedge.exe;3.12;WmiPrvSE.exe;1.86;msedge.exe;1.86;svchost.exe;1.23
servidor12.GABSERVIREDES;2025-10-06 20:09:06;7.2;12;87.7;85.9;320;130434673;130434673;4241490;19626;python.exe;3.77;WmiPrvSE.exe;1.8;svchost.exe;1.18;System;0.35;svchost.exe;0.21
servidor12.GABSERVIREDES;2025-10-06 20:09:19;7.1;12;87.3;85.9;319;130520194;130520194;4249531;19665;python.exe;3.61;WmiPrvSE.exe;1.93;MemCompression;1.68;svchost.exe;1.5;idea64.exe;0.67
servidor12.GABSERVIREDES;2025-10-06 20:09:32;8.3;12;87.2;85.9;319;131709265;131709265;4270859;19833;python.exe;3.77;WmiPrvSE.exe;1.73;svchost.exe;1.11;System;0.21;svchost.exe;0.14
servidor12.GABSERVIREDES;2025-10-06 20:09:45;6.4;12;87.4;85.9;319;131718467;131718467;4273587;19848;python.exe;3.82;WmiPrvSE.exe;1.81;svchost.exe;1.11;System;0.42;idea64.exe;0.21
servidor12.GABSERVIREDES;2025-10-06 20:09:57;7.2;12;87.6;85.9;319;131723897;131723897;4281499;19890;python.exe;3.88;svchost.exe;1.68;WmiPrvSE.exe;1.25;idea64.exe;0.49;System;0.27
servidor12.GABSERVIREDES;2025-10-06 20:10:10;6.2;12;87.5;85.9;319;131724592;131724592;4282089;19897;python.exe;3.7;WmiPrvSE.exe;1.52;svchost.exe;1.51;idea64.exe;0.34;System;0.21
servidor12.GABSERVIREDES;2025-10-06 20:10:23;6.9;12;87.5;85.9;318;131724986;131724986;4282534;19903;python.exe;3.74;WmiPrvSE.exe;1.82;svchost.exe;1.35;System;1.02;idea64.exe;0.67
servidor12.GABSERVIREDES;2025-10-06 20:10:36;9.9;12;89;85.9;323;131754015;131754015;4290004;19944;python.exe;3.59;System;1.65;svchost.exe;1.63;MoUsoCoreWorker.exe;1.53;WmiPrvSE.exe;1.46
